Dag   Smittede	
0     1
1     2
2     2
3     2
4     3
5     3
6     3
7     3
8     5
9     6    
10    7
11    10
12    13
13    19
14    23
15    25
16    26
17    26
18    32
19    44
20    59
21    69
22    74
23    82
24    84
25    89
26    90
27    92
28    97
29    101
30    103
31    105
32    105
33    110
34    111
35    116
36    118
37    124
38    130
39    138
40    150
41    153
42    157
43    163
44    168
45    170
46    175
47    179
48    184
49    187
50    188
51    193
52    193
53    193
54    195
55    197
56    199
57    202
58    203
59    204
60    204
61    204
62    205
63    205
64    205
65    205
66    205
67    205
68    205
69    205
70    206
